Model,Test_AUC,Accuracy,Precision,Recall,F1_Score,Average_Precision,True_Negatives,False_Positives,False_Negatives,True_Positives
AdaBoost,0.9663604210080372,0.9989955239135798,0.7261904761904762,0.6421052631578947,0.6815642458100559,0.558674635835801,56628,23,34,61
LogisticRegression,0.9656689295213816,0.9747471187396468,0.05518617021276596,0.8736842105263158,0.10381488430268919,0.6745717060219228,55230,1421,12,83
RandomForest,0.9575527537489468,0.9992774821132767,0.8068181818181818,0.7473684210526316,0.7759562841530054,0.720852522540295,56634,17,24,71
